plan,district,perimeter,area,polsby_popper,schwartzberg,reock,convex_hull
everslc_wsa,39,268276.022307852,1568088423.57452,0.27378944139372385,0.5232489287076695,0.4391420022681169,0.7072433692362913
everslc_wsa,4,82804.4466355284,95693322.493072,0.1753816611474142,0.4187859371414162,0.36518306472767853,0.6218465058298369
everslc_wsa,40,281807.360698682,2569789550.50707,0.4066331284736439,0.637677919073292,0.5793341938111467,0.8399150379548045
everslc_wsa,41,407247.395032747,3023077363.16588,0.22905643402043305,0.4785984057855113,0.28041052643023273,0.6897414627016656
everslc_wsa,42,350310.638479635,2265104153.60456,0.23194840344966258,0.48161021941987747,0.4556488720948895,0.6912013497017329
everslc_wsa,43,337229.857456593,1275467499.6134,0.14093771395727428,0.3754167204018413,0.3223796878089791,0.7023768096187775
everslc_wsa,44,139547.078144104,152848353.475026,0.09863456499536656,0.3140614032245392,0.4210627719461016,0.732113548241644
everslc_wsa,45,179048.642230802,1126042771.80907,0.4413902007046139,0.664372034860449,0.37094150121790515,0.7705811349602607
everslc_wsa,46,170810.770996026,347217581.577889,0.1495481572199466,0.3867145681506537,0.376217345262896,0.6573155940079598
everslc_wsa,47,145520.310696043,169781254.5047,0.10075169834140818,0.31741408025071627,0.27248654726856264,0.6712770603313167
everslc_wsa,48,52114.2720889989,40974100.2566722,0.18958585765323355,0.4354145813511918,0.322802420600012,0.6055401209233812
everslc_wsa,49,346287.562562334,3827736607.95525,0.40112351540841384,0.6333431261239154,0.42928273219668,0.726309485839534
everslc_wsa,5,226669.836208282,870120527.103328,0.21281479481404433,0.46131853942156315,0.37010858983815403,0.728177797943248
everslc_wsa,50,335793.470139797,3524243132.67213,0.3927636009042613,0.6267085454214435,0.5610142203098819,0.7804471444038814
everslc_wsa,51,339533.611179752,4019559450.25097,0.43814995897438735,0.6619289682242252,0.43175475449779593,0.854391543246011
everslc_wsa,52,138748.246199382,466682257.581611,0.30463244037440457,0.5519351776924575,0.299025611785381,0.732094070698068
everslc_wsa,53,270045.818366825,992831332.65731,0.17108440559958035,0.41362350706842127,0.40590049189278543,0.7352665758254654
everslc_wsa,54,76639.1947386646,137068409.395434,0.29325496335180257,0.5415302053919084,0.47117519270731834,0.8683460345479241
everslc_wsa,55,66071.5223014413,100985898.269085,0.2906979509665909,0.539164122477183,0.405942229271567,0.7757699120064945
everslc_wsa,56,124152.771142571,298206450.862386,0.24311629168351476,0.493068242420372,0.3120636096224302,0.6582373501909303
everslc_wsa,57,41618.087682169,42970076.32156,0.31175379392499664,0.5583491684644982,0.4424150725132871,0.7852644798955429
everslc_wsa,58,141510.284378221,234139719.916534,0.14692948321453211,0.3833138181888726,0.4819647683555518,0.7377439154019054
everslc_wsa,59,330082.174740095,1765688576.84569,0.20364784906362135,0.45127358560370157,0.341210946818873,0.7561794812044252
everslc_wsa,6,342512.764901344,2827079026.00593,0.30282678751552317,0.5502969993699067,0.32325327544917815,0.7051229721959236
everslc_wsa,60,182067.810380781,688084512.964464,0.2608466770778091,0.5107315117337182,0.44212220771296745,0.885339272243665
everslc_wsa,61,206122.092453897,559962119.63735,0.1656225350332685,0.4069674864571721,0.30505224794124536,0.7983082756975243
everslc_wsa,62,135445.071266149,344197992.819094,0.23577175995496247,0.4855633428863451,0.20761026581523317,0.747153797127157
everslc_wsa,63,125898.483862374,420176525.72812,0.33311995525859356,0.5771654487740873,0.2482264074785219,0.7769368440516231
everslc_wsa,64,124983.221063478,85398356.4084848,0.06869987551087699,0.26210661096370114,0.1962798685921751,0.4768596169948599
everslc_wsa,65,37235.9597640125,26433225.4549478,0.2395713717031137,0.4894602861347525,0.6925581364347102,0.86404151794524
everslc_wsa,66,47637.0019442852,25971212.0026342,0.14381799806032683,0.37923343478697513,0.2607022759149338,0.5098716714188342
everslc_wsa,67,464185.2388819,3781176184.02023,0.22052311898278232,0.4695988915902403,0.29712084558078095,0.7119560509612236
everslc_wsa,68,273453.913242341,1497894095.46914,0.2517228774132031,0.5017199192908361,0.4596174532422162,0.7889013840940973
everslc_wsa,69,305396.136648286,3623712829.36189,0.4882436009084549,0.6987443029524139,0.47412720899449246,0.8592549833178774
everslc_wsa,7,35389.1882119712,22152207.7970612,0.22227247203199862,0.471457815750252,0.35012177217499774,0.7162849443772841
everslc_wsa,70,465569.764748508,4666000509.23444,0.2705111116313921,0.5201068271339957,0.2675824361232462,0.7434150364436847
everslc_wsa,71,209990.518537482,1287850681.651,0.3670083998791579,0.6058121820161408,0.5041063294608582,0.8201454065127697
everslc_wsa,72,278990.218711416,2407531333.52793,0.38869043848480217,0.623450429853731,0.4187654680881946,0.8474228428684433
everslc_wsa,73,424729.722777411,5448136149.048,0.3795181127691987,0.6160504141457895,0.5442601559750019,0.773053880749953
everslc_wsa,74,1056758.69398249,13308918698.5681,0.1497617744446196,0.38699066454453346,0.4194554621701245,0.6671876201160838
everslc_wsa,75,315622.815957799,4074727081.34074,0.5140100485351707,0.7169449410764893,0.5197611964679628,0.9036184226436733
everslc_wsa,76,34319.2292257692,36736892.9516649,0.3919559267838101,0.6260638360293701,0.3775989056897787,0.7828053928317406
everslc_wsa,77,103997.710707254,63562698.9209597,0.07385240366265096,0.2717579873023992,0.2576013155728318,0.5900219764938642
everslc_wsa,78,97207.0948672602,42467941.0609676,0.05647745809250352,0.23764986449081663,0.4491943716304518,0.7019103308031255
everslc_wsa,79,211770.801246145,527123157.616831,0.14770316466123626,0.3843216942370496,0.47232494067725295,0.70450378761876
everslc_wsa,8,18620.5632520258,14438169.6982515,0.5232827017368945,0.7233828182483286,0.5520249884589942,0.8574624356200267
everslc_wsa,80,187666.683659892,1057794689.9973,0.37743040899893454,0.614353651408482,0.4363386103079229,0.8179992419135375
